#XYS200,DPSD2018,COEF,11,11,125,20,1000,0.573023625623979,0.00000
#2019/11/09 13:19:52
#E-defense2019-実験前
LEDNo10,　横付け
2707mm
#Xtrue,Ytrue,V1,V2,V3,V4
375,-625,1781,604,945,3241
375,-625,1781,603,945,3241
375,-625,1781,604,945,3241
375,-625,1781,604,945,3241
375,-625,1782,604,945,3241
375,-625,1782,603,945,3242
375,-625,1782,604,945,3241
375,-625,1782,604,945,3242
375,-625,1782,604,945,3242
375,-625,1781,603,945,3242
375,-625,1782,604,945,3241
375,-625,1781,604,945,3241
375,-625,1782,604,945,3242
375,-625,1782,604,945,3242
375,-625,1782,604,945,3241
375,-625,1782,604,945,3242
375,-625,1782,604,945,3241
375,-625,1782,603,945,3242
500,-625,1517,538,1023,3356
500,-625,1516,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1517,538,1023,3357
500,-625,1517,538,1023,3356
500,-625,1516,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1516,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1516,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1516,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1516,538,1023,3356
500,-625,1517,538,1023,3357
500,-625,1517,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1517,538,1023,3356
500,-625,1517,538,1023,3357
625,-625,1240,469,1099,3356
625,-625,1240,470,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,470,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,470,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,470,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
625,-625,1241,469,1099,3356
-625,-500,3183,1237,379,716
-625,-500,3182,1238,380,715
-625,-500,3182,1237,379,716
-625,-500,3182,1238,380,716
-625,-500,3183,1238,379,716
-625,-500,3183,1237,379,716
-625,-500,3182,1238,380,716
-625,-500,3182,1238,380,715
-625,-500,3182,1238,379,716
-625,-500,3182,1238,380,716
-625,-500,3182,1238,380,716
-625,-500,3182,1238,379,716
-625,-500,3182,1238,379,715
-625,-500,3182,1237,380,716
-625,-500,3182,1238,380,716
-625,-500,3182,1238,379,716
-625,-500,3182,1238,379,716
-625,-500,3182,1238,379,716
-625,-500,3182,1238,380,716
-625,-500,3182,1238,379,716
-500,-500,3083,1207,474,974
-500,-500,3083,1208,474,973
-500,-500,3083,1207,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,475,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,475,973
-500,-500,3083,1208,474,973
-500,-500,3083,1208,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,474,973
-500,-500,3083,1208,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,475,973
-500,-500,3084,1208,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,474,974
-500,-500,3083,1208,475,974
-375,-500,2915,1150,569,1234
-375,-500,2915,1151,568,1234
-375,-500,2915,1150,568,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1151,568,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1150,568,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1150,568,1234
-375,-500,2916,1150,568,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1151,569,1234
-375,-500,2915,1150,569,1234
-375,-500,2915,1150,568,1233
-375,-500,2915,1151,568,1234
-375,-500,2915,1150,568,1234
-375,-500,2915,1150,569,1234
-250,-500,2724,1083,663,1499
-250,-500,2724,1083,663,1499
-250,-500,2725,1083,662,1499
-250,-500,2724,1083,662,1499
-250,-500,2724,1083,663,1499
-250,-500,2725,1083,662,1499
-250,-500,2725,1083,662,1499
-250,-500,2724,1083,662,1498
-250,-500,2724,1083,662,1499
-250,-500,2724,1083,662,1499
-250,-500,2725,1083,662,1498
-250,-500,2724,1083,662,1498
-250,-500,2724,1083,662,1499
-250,-500,2724,1083,662,1499
-250,-500,2724,1083,662,1499
-250,-500,2724,1083,662,1498
-250,-500,2724,1083,662,1498
-250,-500,2725,1083,663,1499
-250,-500,2725,1083,662,1499
-250,-500,2724,1083,663,1499
-125,-500,2502,1004,751,1756
-125,-500,2503,1004,750,1756
-125,-500,2502,1004,751,1755
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,750,1756
-125,-500,2503,1004,750,1756
-125,-500,2502,1004,751,1755
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2503,1004,750,1756
-125,-500,2502,1004,750,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
-125,-500,2502,1004,751,1756
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,836,2013
0,-500,2266,920,837,2013
0,-500,2266,920,836,2013
0,-500,2266,921,837,2013
0,-500,2266,921,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,920,836,2013
0,-500,2266,920,836,2013
0,-500,2266,920,837,2013
0,-500,2266,920,837,2013
0,-500,2266,921,836,2013
125,-500,2032,839,926,2281
125,-500,2032,839,925,2281
125,-500,2032,839,925,2282
125,-500,2032,839,926,2281
125,-500,2032,839,925,2281
125,-500,2033,839,925,2281
125,-500,2033,839,925,2281
125,-500,2032,839,925,2281
125,-500,2032,839,926,2282
125,-500,2032,839,925,2281
125,-500,2033,839,925,2281
125,-500,2033,839,925,2282
125,-500,2033,839,925,2281
125,-500,2032,839,925,2281
125,-500,2032,839,925,2281
125,-500,2032,839,925,2281
125,-500,2032,839,925,2281
125,-500,2032,839,926,2281
125,-500,2032,839,926,2281
125,-500,2032,839,925,2281
250,-500,1810,763,1023,2576
