73,FF0B,0206,2B06,3806,8006
0C,1098,062B,0639,0680,0673
0C,1099,062D,063B,0681,0675
0C,109A,062D,063B,0681,0675
0C,109B,062C,063A,0681,0674
0C,109C,062B,0638,067F,0672
0C,109D,062B,0638,067F,0673
0C,109E,062E,063B,0681,0675
0C,109F,062E,063B,0680,0675
0C,10A0,062C,063A,0680,0674
0C,10A1,062B,0638,0680,0672
0C,10A2,062B,0639,067F,0673
0C,10A3,062D,063B,0681,0675
0C,10A4,062E,063B,0681,0675
0C,10A5,062C,063A,0680,0674
0C,10A6,062B,0638,067F,0672
0C,10A7,062B,0638,0680,0673
0C,10A8,062D,063C,0681,0674
0C,10A9,062D,063B,0681,0675
0C,10AA,062C,0639,0681,0674
0C,10AB,062B,0638,067F,0672
0C,10AC,062B,0638,067F,0673
0C,10AD,062D,063C,0681,0675
0C,10AE,062E,063B,0681,0674
0C,10AF,062C,063A,0680,0674
0C,10B0,062B,0638,0680,0672
0C,10B1,062B,0639,0680,0673
0C,10B2,062E,063B,0681,0675
0C,10B3,062E,063C,0681,0675
0C,10B4,062C,063A,0681,0673
0C,10B5,062B,0638,0680,0673
0C,10B6,062B,0638,0680,0673
0C,10B7,062D,063B,0681,0674
0C,10B8,062E,063B,0681,0675
0C,10B9,062C,063A,0681,0674
0C,10BA,062B,0639,0680,0672
0C,10BB,062C,0639,067F,0673
0C,10BC,062E,063B,0681,0675
0C,10BD,062D,063C,0682,0675
0C,10BE,062C,063A,0681,0673
0C,10BF,062B,0638,0680,0672
0C,10C0,062B,0639,0680,0672
0C,10C1,062E,063C,0681,0675
0C,10C2,062D,063B,0681,0675
0C,10C3,062C,063A,0680,0673
0C,10C4,062B,0638,067F,0672
0C,10C5,062B,0638,067F,0673
0C,10C6,062D,063B,0681,0674
0C,10C7,062D,063B,0681,0674
0C,10C8,062C,0639,0680,0674
0C,10C9,062B,0638,067F,0672
0C,10CA,062C,0638,067E,0672
0C,10CB,062D,063B,0680,0674
0C,10CC,062D,063B,0681,0675
0C,10CD,062C,0639,0680,0673
0C,10CE,062B,0638,0680,0673
0C,10CF,062B,0639,0680,0673
0C,10D0,062E,063C,0681,0675
0C,10D1,062D,063C,0681,0675
0C,10D2,062C,063A,0681,0673
0C,10D3,062C,0638,0680,0672
0C,10D4,062C,0638,067F,0674
0C,10D5,062E,063C,0680,0675
0C,10D6,062E,063C,0681,0675
0C,10D7,062D,063A,0680,0674
0C,10D8,062B,0639,0680,0672
0C,10D9,062C,0639,0680,0672
0C,10DA,062E,063B,0681,0675
0C,10DB,062D,063B,0682,0675
0C,10DC,062D,0639,0680,0673
0C,10DD,062B,0638,067F,0672
0C,10DE,062B,0639,0680,0673
0C,10DF,062D,063B,0681,0675
0C,10E0,062D,063B,0681,0675
0C,10E1,062C,0639,0681,0673
0C,10E2,062B,0638,067F,0672
0C,10E3,062C,0639,067F,0673
0C,10E4,062D,063B,0681,0674
0C,10E5,062D,063B,0681,0675
0C,10E6,062C,0639,0680,0674
0C,10E7,062B,0638,067F,0672
0C,10E8,062B,0639,0680,0673
0C,10E9,062D,063B,0681,0675
0C,10EA,062E,063B,0681,0675
0C,10EB,062C,0639,0680,0673
0C,10EC,062B,0638,067F,0673
0C,10ED,062B,0639,067F,0673
0C,10EE,062E,063B,0681,0674
0C,10EF,062D,063C,0681,0675
0C,10F0,062C,0639,0680,0674
0C,10F1,062A,0638,0680,0672
0C,10F2,062B,0639,0680,0673
0C,10F3,062D,063B,0681,0675
0C,10F4,062D,063B,0681,0675
0C,10F5,062B,0639,0680,0674
0C,10F6,062B,0638,067F,0672
0C,10F7,062B,0639,0680,0673
0C,10F8,062D,063B,0681,0675
0C,10F9,062E,063B,0680,0675
0C,10FA,062C,063A,0680,0674
0C,10FB,062B,0639,0680,0672
0C,10FC,062B,0639,067F,0672
0C,10FD,062D,063B,0682,0675
0C,10FE,062D,063B,0681,0675
0C,10FF,062C,0639,0680,0674
0C,1100,062B,0639,067F,0673
0C,1101,062C,0639,0680,0673
0C,1102,062D,063B,0681,0675
0C,1103,062C,063B,0681,0675
0C,1104,062C,0639,0680,0673
0C,1105,062B,0638,0680,0672
0C,1106,062C,0639,067F,0673
0C,1107,062D,063C,0681,0675
0C,1108,062E,063B,0681,0675
0C,1109,062C,0639,0680,0674
0C,110A,062B,0638,0680,0673
0C,110B,062B,0639,067F,0673
0C,110C,062E,063C,0681,0675
0C,110D,062E,063C,0681,0675
0C,110E,062C,0639,0681,0674
0C,110F,062B,0638,0680,0673
0C,1110,062C,0639,0680,0673
0C,1111,062D,063C,0681,0675
0C,1112,062D,063B,0681,0675
0C,1113,062C,0639,0680,0673
0C,1114,062B,0638,067F,0672
0C,1115,062B,0639,067F,0674
0C,1116,062D,063B,0681,0675
0C,1117,062D,063C,0681,0675
0C,1118,062C,063A,0680,0674
0C,1119,062B,0639,067F,0672
0C,111A,062B,0639,0680,0673
0C,111B,062D,063B,0681,0675
0C,111C,062D,063C,0681,0674
0C,111D,062D,063A,0680,0673
0C,111E,062B,0638,067F,0672
0C,111F,062C,0639,067F,0673
0C,1120,062E,063B,0681,0675
0C,1121,062E,063B,0680,0675
0C,1122,062C,0639,0680,0673
0C,1123,062B,0638,067F,0672
0C,1124,062B,0639,0680,0674
0C,1125,062D,063C,0681,0675
0C,1126,062E,063C,0680,0675
0C,1127,062D,0639,0680,0674
0C,1128,062C,0638,067F,0673
0C,1129,062C,0639,067F,0673
0C,112A,062E,063B,0682,0675
0C,112B,062D,063B,0681,0675
0C,112C,062C,063A,0681,0674
0C,112D,062B,0638,067F,0673
0C,112E,062B,0638,0680,0674
0C,112F,062D,063B,0682,0675
0C,1130,062D,063B,0681,0675
0C,1131,062C,063A,0681,0673
0C,1132,062B,0638,0680,0672
0C,1133,062C,0639,067F,0673
0C,1134,062E,063B,0680,0675
0C,1135,062E,063B,0681,0675
0C,1136,062D,0639,0680,0674
0C,1137,062B,0639,067F,0672
0C,1138,062B,0639,0680,0673
0C,1139,062D,063B,0681,0674
0C,113A,062D,063B,0681,0674
0C,113B,062C,063A,0680,0673
0C,113C,062B,0638,067F,0672
0C,113D,062B,0639,0680,0674
0C,113E,062D,063C,0681,0675
0C,113F,062C,063B,0681,0674
0C,1140,062C,0639,0680,0673
0C,1141,062B,0638,067F,0672
0C,1142,062C,063A,067F,0673
0C,1143,062D,063B,0681,0675
0C,1144,062D,063B,0681,0675
0C,1145,062C,063A,0680,0673
0C,1146,062B,0638,067F,0673
0C,1147,062C,063A,0680,0673
0C,1148,062E,063B,0681,0674
0C,1149,062D,063B,0681,0675
0C,114A,062B,0639,0680,0674
0C,114B,062B,0638,0680,0672
0C,114C,062C,0639,0680,0673
0C,114D,062D,063B,0681,0675
0C,114E,062D,063B,0681,0674
0C,114F,062C,063A,0680,0673
0C,1150,062B,0637,067F,0672
0C,1151,062C,0639,0680,0673
0C,1152,062E,063B,0681,0675
0C,1153,062D,063B,0681,0674
0C,1154,062B,0639,0681,0673
0C,1155,062B,0638,0680,0672
0C,1156,062B,0639,0680,0673
0C,1157,062D,063C,0681,0675
0C,1158,062D,063B,0681,0675
0C,1159,062C,0639,0680,0673
0C,115A,062B,0638,067F,0673
0C,115B,062C,0639,0680,0673
0C,115C,062D,063C,0682,0675
0C,115D,062D,063B,0681,0675
0C,115E,062C,0639,0680,0673
0C,115F,062B,0638,067F,0672
0C,1160,062C,0639,0680,0673
0C,1161,062D,063B,0680,0675
0C,1162,062D,063B,0680,0675
0C,1163,062C,0639,0680,0673
0C,1164,062B,0638,0680,0672
0C,1165,062B,0639,0680,0674
0C,1166,062D,063B,0681,0675
0C,1167,062D,063B,0681,0674
0C,1168,062C,0639,0680,0673
0C,1169,062A,0637,0680,0673
0C,116A,062C,0639,0680,0673
0C,116B,062D,063B,0681,0675
0C,116C,062D,063B,0681,0675
0C,116D,062C,0639,0680,0673
0C,116E,062B,0638,067F,0672
0C,116F,062C,0639,0680,0673
0C,1170,062D,063C,0681,0675
0C,1171,062D,063B,0681,0675
0C,1172,062C,0639,0680,0673
0C,1173,062B,0639,067F,0671
0C,1174,062C,0639,0680,0674
0C,1175,062D,063B,0681,0675
0C,1176,062D,063B,0680,0675
0C,1177,062C,0639,0680,0673
0C,1178,062B,0638,067F,0673
0C,1179,062C,063A,0680,0673
0C,117A,062D,063B,0681,0675
0C,117B,062C,063B,0681,0674
0C,117C,062C,0639,0680,0674
0C,117D,062A,0638,0680,0673
0C,117E,062C,063A,0680,0674
0C,117F,062D,063B,0682,0675
0C,1180,062D,063B,0681,0674
0C,1181,062C,0639,0681,0673
0C,1182,062B,0638,067F,0672
0C,1183,062C,063A,0680,0673
0C,1184,062E,063B,0681,0675
0C,1185,062D,063B,0680,0675
0C,1186,062C,0639,0680,0673
0C,1187,062B,0638,067F,0672
0C,1188,062B,063A,0680,0673
0C,1189,062D,063C,0681,0675
0C,118A,062D,063A,0680,0674
0C,118B,062B,0639,0680,0674
0C,118C,062B,0638,067F,0672
0C,118D,062C,0639,067F,0674
0C,118E,062D,063B,0681,0675
0C,118F,062D,063B,0681,0675
0C,1190,062C,0639,0680,0673
0C,1191,062B,0638,0680,0673
0C,1192,062C,063A,0680,0674
0C,1193,062E,063B,0681,0675
0C,1194,062C,063B,0681,0675
0C,1195,062C,0638,0681,0674
0C,1196,062B,0638,067F,0673
0C,1197,062B,0639,0680,0674
0C,1198,062D,063B,0681,0675
0C,1199,062D,063B,0680,0674
0C,119A,062C,0639,0681,0674
0C,119B,062A,0638,0680,0672
0C,119C,062C,063A,0680,0674
0C,119D,062D,063C,0681,0675
0C,119E,062C,063A,0681,0674
0C,119F,062B,0639,0680,0673
0C,11A0,062B,0638,067F,0672
0C,11A1,062C,0639,0680,0674
0C,11A2,062E,063C,0681,0675
0C,11A3,062D,063A,0680,0675
0C,11A4,062C,063A,0680,0673
0C,11A5,062B,0638,067F,0671
0C,11A6,062C,0639,0680,0674
0C,11A7,062D,063B,0681,0675
0C,11A8,062D,063B,0681,0674
0C,11A9,062C,0639,0680,0673
0C,11AA,062A,0637,0680,0673
0C,11AB,062C,063A,0680,0674
0C,11AC,062E,063B,0681,0675
0C,11AD,062D,063A,0681,0675
0C,11AE,062C,0639,0680,0673
0C,11AF,062C,0638,067F,0672
0C,11B0,062C,063A,0680,0674
0C,11B1,062D,063B,0681,0675
0C,11B2,062D,063B,0681,0674
0C,11B3,062C,0639,0680,0673
0C,11B4,062B,0638,067F,0672
0C,11B5,062C,0639,0680,0674
0C,11B6,062E,063B,0681,0675
0C,11B7,062D,063B,0681,0675
0C,11B8,062C,0639,0680,0673
0C,11B9,062B,0638,067F,0673
0C,11BA,062C,063A,0681,0674
0C,11BB,062E,063C,0681,0675
0C,11BC,062D,063B,0681,0674
0C,11BD,062C,0639,0680,0673
0C,11BE,062B,0638,067F,0672
0C,11BF,062C,063A,0680,0674
0C,11C0,062E,063B,0681,0676
0C,11C1,062E,063A,0680,0674
0C,11C2,062C,063A,0680,0672
0C,11C3,062A,0637,0680,0673
0C,11C4,062C,063A,0680,0673
0C,11C5,062E,063B,0681,0675
0C,11C6,062D,063A,0681,0675
0C,11C7,062C,0639,0680,0673
0C,11C8,062B,0638,067F,0673
0C,11C9,062C,063A,0681,0673
0C,11CA,062E,063C,0681,0674
0C,11CB,062D,063B,0680,0674
0C,11CC,062C,0639,067F,0673
0C,11CD,062C,0639,067F,0672
0C,11CE,062C,063A,0680,0674
0C,11CF,062D,063C,0681,0675
0C,11D0,062C,063B,0681,0674
0C,11D1,062B,0639,0680,0673
0C,11D2,062A,0638,067F,0672
0C,11D3,062D,063A,0680,0674
0C,11D4,062E,063B,0681,0675
0C,11D5,062D,063B,0680,0674
0C,11D6,062B,0638,0680,0673
0C,11D7,062B,0638,067F,0672
0C,11D8,062C,063A,0681,0674
0C,11D9,062E,063B,0681,0675
0C,11DA,062E,063A,0680,0674
0C,11DB,062C,0639,0680,0673
0C,11DC,062B,0638,067F,0673
0C,11DD,062C,063A,0680,0674
0C,11DE,062E,063B,0681,0675
0C,11DF,062D,063B,0681,0674
0C,11E0,062C,0639,0680,0673
0C,11E1,062B,0637,067F,0673
0C,11E2,062D,063A,0680,0674
0C,11E3,062E,063C,0681,0675
0C,11E4,062D,063A,0681,0674
0C,11E5,062C,0638,0680,0673
0C,11E6,062B,0638,067F,0672
0C,11E7,062C,063A,0680,0674
0C,11E8,062E,063B,0681,0675
0C,11E9,062D,063B,0680,0674
0C,11EA,062C,0638,067F,0673
0C,11EB,062B,0637,067F,0672
0C,11EC,062C,063A,0680,0674
0C,11ED,062D,063B,0682,0675
0C,11EE,062D,063A,0680,0674
0C,11EF,062C,0639,0680,0673
0C,11F0,062B,0638,067F,0672
0C,11F1,062D,063A,0680,0674
0C,11F2,062D,063C,0681,0675
0C,11F3,062D,063A,0681,0673
0C,11F4,062B,0639,0680,0673
0C,11F5,062A,0638,0680,0672
0C,11F6,062D,063A,0680,0674
0C,11F7,062E,063B,0681,0675
0C,11F8,062D,063A,0680,0674
0C,11F9,062B,0639,0680,0673
0C,11FA,062B,0638,067F,0672
0C,11FB,062C,063A,0681,0674
0C,11FC,062D,063C,0681,0675
0C,11FD,062D,063A,0680,0674
0C,11FE,062C,0638,067F,0673
0C,11FF,062B,0638,067F,0672
0C,1200,062C,063A,0680,0674
0C,1201,062D,063B,0681,0675
0C,1202,062C,063B,0681,0673
0C,1203,062B,0638,0680,0673
0C,1204,062A,0638,067F,0672
0C,1205,062D,063B,0680,0674
0C,1206,062E,063C,0681,0675
0C,1207,062D,063A,0680,0674
0C,1208,062C,0639,067F,0673
0C,1209,062B,0638,067F,0672
0C,120A,062D,063A,0680,0674
0C,120B,062D,063C,0681,0675
0C,120C,062D,063A,0680,0674
0C,120D,062B,0638,0680,0673
0C,120E,062A,0638,0680,0672
0C,120F,062C,0639,0681,0675
0C,1210,062D,063B,0682,0675
0C,1211,062C,063A,0681,0674
0C,1212,062B,0639,0680,0672
0C,1213,062B,0638,067F,0672
0C,1214,062C,063B,0680,0674
0C,1215,062E,063C,0681,0675
0C,1216,062D,063A,0680,0673
0C,1217,062C,063A,067F,0672
0C,1218,062B,0639,067F,0671
0C,1219,062C,063B,0681,0674
0C,121A,062D,063C,0682,0675
0C,121B,062C,063A,0681,0674
0C,121C,062B,0638,0680,0673
0C,121D,062A,0637,067F,0673
0C,121E,062D,063A,0680,0675
0C,121F,062D,063B,0681,0675
0C,1220,062C,063A,0681,0675
0C,1221,062B,0638,0680,0673
0C,1222,062B,0638,067F,0672
0C,1223,062D,063A,0680,0674
0C,1224,062E,063C,0681,0674
0C,1225,062D,063A,0680,0674
0C,1226,062B,0638,0680,0673
0C,1227,062B,0638,0680,0672
0C,1228,062D,063B,0681,0674
0C,1229,062E,063C,0681,0675
0C,122A,062D,063B,0680,0675
0C,122B,062B,0639,0680,0673
0C,122C,062B,0637,067F,0673
0C,122D,062D,063B,0681,0675
0C,122E,062E,063C,0681,0675
0C,122F,062C,063A,0681,0674
0C,1230,062B,0639,0680,0672
0C,1231,062B,0638,0680,0672
0C,1232,062D,063B,0681,0674
0C,1233,062E,063C,0681,0675
0C,1234,062D,063B,0681,0674
0C,1235,062C,063A,0680,0672
0C,1236,062B,0638,0680,0673
0C,1237,062C,063B,0682,0675
0C,1238,062D,063C,0682,0675
0C,1239,062C,063A,0681,0675
0C,123A,062B,0638,0680,0673
0C,123B,062C,0638,067F,0672
0C,123C,062D,063A,0681,0674
0C,123D,062D,063C,0681,0675
0C,123E,062D,063A,0680,0674
0C,123F,062B,0638,0680,0673
0C,1240,062A,0638,067F,0672
0C,1241,062D,063A,0680,0674
0C,1242,062E,063C,0681,0676
0C,1243,062C,063A,0681,0674
0C,1244,062B,0639,0680,0672
0C,1245,062A,0637,0680,0673
0C,1246,062D,063A,0681,0674
0C,1247,062E,063B,0681,0675
0C,1248,062C,063A,0681,0675
0C,1249,062B,0639,0680,0673
0C,124A,062C,0638,067F,0672
0C,124B,062C,063A,0681,0675
0C,124C,062D,063C,0681,0675
0C,124D,062C,063A,0681,0674
0C,124E,062B,0638,067F,0672
0C,124F,062B,0638,067F,0672
0C,1250,062D,063B,0680,0674
0C,1251,062E,063C,0681,0675
0C,1252,062C,063A,0680,0674
0C,1253,062B,063A,0680,0673
0C,1254,062B,0638,067F,0672
0C,1255,062C,063B,0681,0674
0C,1256,062D,063C,0682,0675
0C,1257,062C,063A,0681,0674
0C,1258,062A,0638,0680,0673
0C,1259,062A,0638,0680,0672
0C,125A,062D,063B,0681,0674
0C,125B,062D,063B,0681,0675
0C,125C,062C,063A,0680,0674
0C,125D,062B,0638,067F,0672
0C,125E,062B,0638,067F,0672
0C,125F,062D,063B,0680,0674
0C,1260,062E,063C,0681,0674
0C,1261,062C,063A,0680,0674
0C,1262,062B,0639,0680,0672
0C,1263,062A,0638,067F,0672
0C,1264,062D,063A,0680,0674
0C,1265,062D,063B,0681,0675
0C,1266,062D,0639,0680,0674
0C,1267,062B,0637,0680,0673
0C,1268,062A,0638,067F,0673
0C,1269,062D,063A,0681,0675
0C,126A,062D,063B,0681,0675
0C,126B,062C,0639,0680,0674
0C,126C,062B,0638,067F,0673
0C,126D,062B,0638,067F,0672
0C,126E,062E,063B,0680,0674
0C,126F,062E,063C,0681,0675
0C,1270,062D,063A,0680,0674
0C,1271,062C,0638,067F,0673
0C,1272,062B,0638,067F,0672
0C,1273,062D,063A,0681,0674
0C,1274,062D,063B,0682,0676
0C,1275,062C,0639,0680,0674
0C,1276,062B,0637,0680,0673
0C,1277,062B,0637,067F,0673
0C,1278,062C,063A,0681,0675
0C,1279,062D,063C,0681,0675
0C,127A,062C,0639,0680,0674
0C,127B,062B,0638,067F,0673
0C,127C,062B,0638,067F,0672
0C,127D,062D,063B,0681,0674
0C,127E,062E,063B,0681,0675
0C,127F,062D,063A,0680,0673
0C,1280,062B,0638,067F,0673
0C,1281,062B,0638,067F,0672
0C,1282,062D,063A,0681,0676
0C,1283,062E,063B,0681,0676
0C,1284,062D,063A,0680,0674
0C,1285,062B,0638,0680,0673
0C,1286,062B,0637,067F,0673
0C,1287,062C,063A,0681,0675
0C,1288,062D,063B,0681,0675
0C,1289,062C,0639,0680,0674
0C,128A,062B,0638,0680,0672
0C,128B,062B,0639,067F,0672
0C,128C,062E,063B,0681,0674
0C,128D,062E,063B,0681,0676
0C,128E,062C,063A,0680,0673
0C,128F,062B,0638,0680,0673
0C,1290,062A,0638,067F,0673
0C,1291,062D,063B,0681,0675
0C,1292,062E,063B,0681,0675
0C,1293,062C,063A,0680,0674
0C,1294,062B,0639,067F,0673
0C,1295,062C,0638,067F,0672
0C,1296,062C,063A,0681,0675
0C,1297,062D,063C,0681,0675
0C,1298,062C,0639,0680,0674
0C,1299,062B,0637,0680,0672
0C,129A,062A,0638,067F,0672
0C,129B,062D,063A,0681,0675
0C,129C,062D,063C,0681,0675
0C,129D,062C,063A,0680,0674
0C,129E,062B,0639,0680,0673
0C,129F,062C,0638,067E,0672
0C,12A0,062D,063A,0681,0675
0C,12A1,062E,063C,0681,0676
0C,12A2,062D,0639,0680,0675
0C,12A3,062B,0638,0680,0672
0C,12A4,062B,0638,067F,0672
0C,12A5,062D,063A,0681,0675
0C,12A6,062D,063B,0681,0676
0C,12A7,062D,063A,0680,0674
0C,12A8,062C,0638,067F,0672
0C,12A9,062B,0637,067F,0673
0C,12AA,062D,063B,0680,0674
0C,12AB,062E,063B,0681,0675
0C,12AC,062B,0639,0680,0673
0C,12AD,062B,0638,0680,0673
0C,12AE,062B,0638,067F,0673
0C,12AF,062D,063B,0681,0674
0C,12B0,062D,063C,0681,0675
0C,12B1,062C,063A,0680,0674
0C,12B2,062B,0638,0680,0672
0C,12B3,062B,0638,067F,0673
0C,12B4,062E,063B,0680,0675
0C,12B5,062E,063B,0681,0675
0C,12B6,062C,063A,0680,0673
0C,12B7,062B,0639,067F,0672
0C,12B8,062B,0637,067F,0673
0C,12B9,062D,063A,0681,0675
0C,12BA,062D,063B,0681,0675
0C,12BB,062D,063A,0680,0673
0C,12BC,062B,0638,0680,0672
0C,12BD,062C,0639,067F,0672
0C,12BE,062D,063B,0681,0674
0C,12BF,062E,063C,0681,0675
0C,12C0,062C,063A,0680,0674
0C,12C1,062B,0638,067F,0672
0C,12C2,062A,0638,0680,0673
0C,12C3,062C,063B,0681,0674
0C,12C4,062D,063A,0681,0675
0C,12C5,062C,0639,0680,0673
0C,12C6,062B,0638,067F,0673
0C,12C7,062B,0638,067F,0673
0C,12C8,062D,063B,0681,0675
0C,12C9,062E,063B,0681,0675
0C,12CA,062C,063A,0681,0674
0C,12CB,062B,0638,0680,0673
0C,12CC,062B,0638,067F,0673
0C,12CD,062D,063B,0681,0675
0C,12CE,062E,063B,0681,0675
0C,12CF,062C,0639,0681,0674
0C,12D0,062B,0638,0680,0672
0C,12D1,062B,0638,067F,0672
0C,12D2,062C,063B,0681,0674
0C,12D3,062E,063B,0681,0674
0C,12D4,062D,063A,0680,0673
0C,12D5,062B,0637,0680,0673
0C,12D6,062B,0638,067F,0673
0C,12D7,062C,063B,0681,0674
0C,12D8,062D,063B,0681,0675
0C,12D9,062D,063A,0681,0673
0C,12DA,062C,0639,0680,0672
0C,12DB,062B,0639,067F,0673
0C,12DC,062E,063C,0681,0675
0C,12DD,062E,063B,0681,0675
0C,12DE,062B,0639,0681,0674
0C,12DF,062A,0638,0680,0672
0C,12E0,062A,0639,0680,0673
0C,12E1,062C,063B,0681,0675
0C,12E2,062D,063B,0681,0675
0C,12E3,062D,063A,0681,0674
0C,12E4,062C,0638,067F,0673
0C,12E5,062A,0639,0680,0673
0C,12E6,062D,063B,0681,0674
0C,12E7,062D,063B,0681,0674
0C,12E8,062C,063A,0681,0673
0C,12E9,062C,0638,0680,0673
0C,12EA,062B,0639,067F,0672
0C,12EB,062D,063B,0681,0675
0C,12EC,062E,063C,0681,0675
0C,12ED,062C,063A,0680,0674
0C,12EE,062A,0638,0680,0673
0C,12EF,062B,0639,0680,0672
0C,12F0,062D,063A,0680,0674
0C,12F1,062D,063A,0680,0675
0C,12F2,062C,063A,0680,0674
0C,12F3,062B,0637,067F,0673
0C,12F4,062B,0638,0680,0673
0C,12F5,062D,063B,0681,0674
0C,12F6,062D,063A,0681,0674
0C,12F7,062C,0639,0680,0673
0C,12F8,062C,0638,067F,0672
0C,12F9,062C,0639,067F,0673
0C,12FA,062E,063C,0681,0674
0C,12FB,062D,063C,0681,0675
0C,12FC,062C,063A,0681,0673
0C,12FD,062B,0638,0680,0673
0C,12FE,062B,063A,0680,0673
0C,12FF,062E,063B,0681,0674
0C,1300,062D,063B,0680,0674
0C,1301,062C,0639,0680,0673
0C,1302,062A,0638,0680,0672
0C,1303,062B,0639,0680,0672
0C,1304,062D,063B,0682,0675
0C,1305,062E,063D,0682,0675
0C,1306,062C,063A,0680,0673
0C,1307,062B,0638,0680,0673
0C,1308,062B,0639,0680,0673
0C,1309,062D,063A,0681,0675
0C,130A,062D,063B,0681,0674
0C,130B,062C,063A,0680,0672
0C,130C,062B,0638,067E,0672
0C,130D,062B,0639,0680,0673
0C,130E,062E,063C,0680,0675
0C,130F,062E,063C,0680,0674
0C,1310,062B,0639,0680,0674
0C,1311,062A,0637,067F,0672
0C,1312,062B,0638,0680,0673
0C,1313,062D,063B,0681,0675
0C,1314,062E,063B,0680,0675
0C,1315,062D,0638,0680,0674
0C,1316,062B,0638,067F,0673
0C,1317,062C,0639,0680,0673
0C,1318,062D,063B,0681,0675
0C,1319,062D,063B,0681,0675
0C,131A,062C,063A,0680,0674
0C,131B,062B,0638,0680,0672
0C,131C,062C,0638,067F,0673
0C,131D,062D,063B,0680,0674
0C,131E,062D,063B,0681,0674
0C,131F,062D,063A,0680,0673
0C,1320,062B,0638,067F,0673
0C,1321,062C,063A,0680,0672
0C,1322,062D,063B,0681,0675
0C,1323,062D,063B,0681,0675
0C,1324,062B,0639,0680,0673
0C,1325,062B,0638,067F,0672
0C,1326,062B,0639,0680,0673
0C,1327,062D,063B,0681,0674
0C,1328,062D,063B,0680,0675
0C,1329,062C,0639,0680,0673
0C,132A,062B,0638,067F,0672
0C,132B,062C,0639,067F,0673
0C,132C,062D,0639,0681,0675
0C,132D,062C,063A,0681,0674
0C,132E,062C,0638,0680,0674
0C,132F,062A,0637,0680,0673
0C,1330,062B,0639,0680,0674
0C,1331,062D,063C,0681,0675
0C,1332,062D,063A,0680,0674
0C,1333,062C,0639,0680,0673
0C,1334,062B,0638,067F,0672
0C,1335,062C,0639,067F,0673
0C,1336,062D,063A,0681,0675
0C,1337,062C,063A,0681,0674
0C,1338,062B,0638,0680,0674
0C,1339,062B,0637,067F,0672
0C,133A,062C,0639,0680,0673
0C,133B,062D,063A,0681,0675
0C,133C,062D,063A,0680,0675
0C,133D,062C,0639,0680,0673
0C,133E,062B,0638,067F,0672
0C,133F,062C,063A,0680,0673
0C,1340,062D,063B,0681,0675
0C,1341,062D,063B,0681,0674
0C,1342,062C,0639,0680,0673
0C,1343,062B,0638,067F,0672
0C,1344,062C,0639,067F,0673
0C,1345,062C,063A,0681,0674
0C,1346,062C,0639,0680,0674
0C,1347,062C,0638,0680,0673
0C,1348,062B,0637,067E,0672
0C,1349,062C,0638,0680,0673
0C,134A,062D,063B,0680,0675
0C,134B,062D,0639,0680,0675
0C,134C,062B,0638,0680,0674
0C,134D,062A,0637,067F,0672
0C,134E,062B,0639,067F,0673
0C,134F,062D,063B,0681,0675
0C,1350,062D,063B,0680,0674
0C,1351,062C,0639,0680,0673
0C,1352,062B,0637,067F,0673
0C,1353,062D,0639,0680,0673
0C,1354,062E,063B,0681,0675
0C,1355,062C,063A,0681,0675
0C,1356,062B,0639,0680,0673
0C,1357,062B,0637,067F,0672
0C,1358,062B,0639,067F,0673
0C,1359,062D,063B,0680,0674
0C,135A,062D,063A,0680,0673
0C,135B,062B,0639,067F,0672
0C,135C,062A,0639,067F,0671
0C,135D,062B,063A,0680,0673
0C,135E,062D,063B,0681,0674
0C,135F,062D,063B,0680,0674
0C,1360,062C,0638,067F,0673
0C,1361,062B,0637,067F,0672
0C,1362,062B,0639,0680,0674
0C,1363,062C,063B,0681,0675
0C,1364,062D,063A,0680,0675
0C,1365,062C,0639,0680,0674
0C,1366,062B,0638,067F,0672
0C,1367,062D,0639,0680,0674
0C,1368,062D,063B,0681,0675
0C,1369,062D,063A,0680,0674
0C,136A,062B,0639,0680,0673
0C,136B,062A,0638,067F,0672
0C,136C,062C,063B,0680,0672
0C,136D,062E,063C,0681,0675
0C,136E,062D,063A,0680,0675
0C,136F,062C,0639,0680,0673
0C,1370,062B,0638,067F,0673
0C,1371,062C,0639,0680,0674
0C,1372,062E,063B,0681,0674
0C,1373,062D,063B,0680,0674
0C,1374,062C,0639,067F,0673
0C,1375,062B,0638,067F,0672
0C,1376,062C,0639,067F,0674
0C,1377,062D,063B,0681,0675
0C,1378,062C,063B,0680,0674
0C,1379,062C,0638,0680,0673
0C,137A,062B,0638,067F,0672
0C,137B,062B,063A,0681,0674
0C,137C,062D,063B,0681,0675
0C,137D,062C,063A,0680,0674
0C,137E,062C,0638,067F,0674
0C,137F,062B,0638,067F,0672
0C,1380,062B,0639,067F,0673
0C,1381,062C,063B,0681,0675
0C,1382,062C,063B,0680,0673
0C,1383,062C,0638,0680,0672
0C,1384,062A,0638,067F,0672
0C,1385,062D,063A,0680,0673
0C,1386,062E,063B,0680,0674
0C,1387,062C,063A,0680,0674
0C,1388,062B,0638,067F,0672
0C,1389,062A,0638,067E,0671
0C,138A,062B,0639,0680,0674
0C,138B,062D,063C,0681,0674
0C,138C,062D,063A,0680,0673
0C,138D,062B,0638,0680,0672
0C,138E,062A,0638,067F,0672
0C,138F,062C,0639,0680,0673
