73,FF0B,0206,2B06,3806,8006
0C,0BE5,062E,063C,0681,0675
0C,0BE6,062B,0639,0680,0674
0C,0BE7,062B,0639,0680,0673
0C,0BE8,062B,0638,0680,0672
0C,0BE9,062D,063B,0681,0675
0C,0BEA,062D,063C,0681,0675
0C,0BEB,062C,063A,0681,0674
0C,0BEC,062C,0638,0680,0673
0C,0BED,062A,0637,0680,0673
0C,0BEE,062C,063A,0681,0675
0C,0BEF,062D,063B,0681,0675
0C,0BF0,062C,063A,0681,0674
0C,0BF1,062B,0638,0680,0672
0C,0BF2,062B,0638,067F,0672
0C,0BF3,062E,063A,0681,0675
0C,0BF4,062E,063C,0681,0675
0C,0BF5,062C,0639,0681,0674
0C,0BF6,062B,0638,0680,0672
0C,0BF7,062B,0639,0680,0672
0C,0BF8,062D,063A,0681,0674
0C,0BF9,062E,063C,0681,0675
0C,0BFA,062D,063A,0680,0674
0C,0BFB,062B,0638,067F,0673
0C,0BFC,062B,0639,067F,0672
0C,0BFD,062D,063B,0681,0674
0C,0BFE,062D,063B,0681,0675
0C,0BFF,062D,063A,0680,0673
0C,0C00,062B,0638,067F,0673
0C,0C01,062B,0638,067F,0672
0C,0C02,062D,063B,0681,0674
0C,0C03,062D,063C,0681,0675
0C,0C04,062C,0639,0680,0674
0C,0C05,062B,0638,067F,0672
0C,0C06,062B,0638,067F,0672
0C,0C07,062D,063B,0680,0674
0C,0C08,062E,063C,0681,0675
0C,0C09,062D,063A,0680,0674
0C,0C0A,062B,0638,067F,0673
0C,0C0B,062A,0637,067F,0673
0C,0C0C,062D,063B,0681,0675
0C,0C0D,062E,063B,0681,0675
0C,0C0E,062D,063A,0680,0673
0C,0C0F,062B,0638,067F,0672
0C,0C10,062B,0638,067F,0672
0C,0C11,062D,063A,0681,0675
0C,0C12,062E,063C,0681,0675
0C,0C13,062C,0639,0680,0674
0C,0C14,062B,0638,0680,0673
0C,0C15,062A,0639,067F,0672
0C,0C16,062D,063B,0681,0675
0C,0C17,062E,063B,0682,0676
0C,0C18,062D,063B,0680,0674
0C,0C19,062B,0639,067F,0673
0C,0C1A,062B,0637,067F,0672
0C,0C1B,062D,063A,0681,0675
0C,0C1C,062E,063A,0681,0675
0C,0C1D,062B,0639,0680,0674
0C,0C1E,062B,0638,0680,0673
0C,0C1F,062B,0638,067F,0672
